name,homepage,borough,michelin_category,notes,resolver_status,candidate_title,candidate_snippet,search_query
Sushi Akira,https://sushiakiranyc.com/,Manhattan,selected,,resolved,Sushi Akira,"An intimate 12-seat omakase experience on the Upper East Side. Helmed by Chef Nikki, Sushi Akira brings Michelin-level precision, artistry, and service.",Sushi Akira Manhattan restaurant official site
Lei,https://www.leiwine.nyc/,Manhattan,selected,,resolved,Lei NYC,ABOUT · MENU · BOOKINGS · EVENTS · CONTACT · GIFT CARDS.,Lei Manhattan restaurant official site
Comal,https://www.comal-nyc.com/,Manhattan,selected,,resolved,COMAL NYC,"Location. 116 Forsyth st. New York, NY ; Contact. info@comal-nyc.com · (646) 988 9678 ; Hours. Tuesday — Saturday 5PM — 12AM ; gift cards ...",Comal Manhattan restaurant official site
Smithereens,https://www.smithereensnyc.com/,Manhattan,selected,,resolved,Smithereens NYC,Smithereens. home · menus · book · about · accessibility · gift cards · store · zine. Open ... hello@smithereensnyc.com.,Smithereens Manhattan restaurant official site
La Dong,https://www.ladongnyc.com/,,,,resolved,La Dong | Vietnamese Food in Union square | New York,"La Dong, We are serving Modern Vietnamese Food in an Asian Colonial house setting near Union square. Not only you will get to experience our recipe from ...",La Dong NYC restaurant official site
Sushi Sho,https://www.sushi-sho.com/,,,,resolved,SUSHI SHO,Online reservations are required in advance and there is a minimum charge of $190 per diner (excludes tax). Children under the age of 13 are not allowed.,Sushi Sho NYC restaurant official site
Four Twenty Five,https://www.425parkrestaurant.com/,,,,resolved,"Four Twenty Five, a Jean-Georges Restaurant","Four Twenty Five is a Contemporary, Elevated Restaurant in Midtown Manhattan, NY.",Four Twenty Five NYC restaurant official site
One White Street,https://onewhitestreetnyc.com/,,,,resolved,One White Street,"One White Street is a neighborhood restaurant in downtown New York City. Located in a historic Tribeca townhouse, One White Street is a place to feel at home.",One White Street NYC restaurant official site
Le Pavillon,https://www.lepavillonnyc.com/,,,,resolved,Le Pavillon NYC | Midtown Seafood-Focused Dining from ...,"Executive Chef Will Nacev presents an innovative menu highlighting seafood and vegetable-forward cuisine, while paying homage to french tradition and New York's ...",Le Pavillon NYC restaurant official site
Hyun,https://www.hyunnyc.com/,,,,resolved,Stylish & minimalist Korean barbecue restaurant in NYC,,Hyun NYC restaurant official site
